标记	英文	音标	中文
	basketball	5bB:skitbC:l	n.篮球, 篮球运动
	bat	bAt, bB:t	n.蝙蝠, 球棒v.用球棒击球[计] 批处理文件的扩展名abbr.[军] Basic Armor Training, 装甲兵基础训练
	batch	bAtF	n.(面包等)一炉, 一批
	bath	bB:W	n.沐浴, 浴室
	bathe	beiT	v.沐浴, 洗, (光线)充满n.洗澡
	bathroom	5bB:Wru:m	n.浴室, 盥洗室
	battery	5bAtEri	n.电池, 殴打
	battle	5bAtl	n.战役(指大规模会战), 战争vi.作战, 战斗, 搏斗, 斗争
	bay	bei	n.海湾, 狗吠声, 绝路vt.吠, 使走投无路vi.吠
	be	" bi;bi:;"	prep.是, 在, 存在[域] Belgium , 比利时abbr.[军] Base Ejection, 弹底喷射
	beach	bi:tF	n.海滩
	beam	bi:m	n.梁, 桁条, (光线的)束, 柱, 电波, 横梁v.播送
	bean	bi:n	n.豆, 豆形果实
	bear	bZE	n.熊v.负担, 忍受, 带给, 具有, 挤, 向
	beard	biEd	n.胡须
	bearing	5bZEriN	n.轴承, 关系, 方面, 意义, 方向, 方位
	beast	bi:st	n.兽, 畜牲, 人面兽心的人
	beat	bi:t	n.敲打, 拍子, 巡逻区域v.打, 打败
	beautiful	5bju:tEful, -tiful	adj.美丽的, 很好的
	beauty	5bju:ti	n.美, 美景, 美好的东西
	because	bi5kCz, bE5kCz, bi5kEz	conj.adv.因为
	become	bi5kQm	vi.变成, 成为, 变得vt.适合, 相称
	bed	bed	n.床, 基础, 路基, 河底, 海底, 一堆, 一层vt.安置, 嵌入, 使睡, 栽种vi.上床, 分层
	bee	bi:	n.蜜蜂
	beef	bi:f	n.牛肉
	beer	biE	n.啤酒
	before	bi5fC:	adv.在前, 以前prep.在...之前conj.在...之前, 与其...宁可
	beforehand	bi5fC:hAnd	adv.预先
	beg	be^	v.请求, 乞求
	begin	bI5^In	v.开始, 首先
	beginning	bi5^iniN	n.开始
	behalf	bi5hB:f	n.为, 利益
	behave	bi5heiv	vi.举动, 举止, 运转v.行为表现
	behavior	bi5heivjE	n.举止, 行为
	behaviour	bi5heivjE	n.行为, 举止, 习性
	behind	bi5haind	adv.在后地prep.在...之后
	being	5bi:iN	n.存在, 生命, 人, 本质art.在, 有, 是
	belief	bi5li:f	n.信任, 信心, 信仰
	believe	bi5li:v	v.有坚定的宗教信仰的, 相信, 信任, 认为, 想
	bell	bel	n.铃, 钟
	belly	5beli	n.腹部, 胃vi.涨满
	belong	bi5lCN	vi.属于, 住
	beloved	bi5lQvd, bi5lQvid	adj.心爱的n.所爱的人, 爱人
	below	bi5lEu	prep.在...下面, adv.在下, 在页底
	belt	belt	n.带子, 地带
	bench	bentF	n.长椅子
	bend	bend	v.弯曲, 专心于, 屈服n.弯曲
	beneath	bi5ni:W	adv.在...之下prep.在...之下
	beneficial	beni5fiFEl	adj.有益的, 受益的, [法律]有使用权的adj.有益的,得利的,[律]有使用权的
	benefit	5benifit	n.利益, 好处vt.有益于, 有助于vi.受益
	benign	bi5nain	adj.(病)良性的, (气候)良好的, 仁慈的, 和蔼的
	beside	bi5said	prep.在旁边, 和...比较
	besides	bi5saidz	adv.此外prep.除...之外
	best	best	adj.最好的adv.最好地, 最, 极n.最佳状态或作品, 最好的东西
	bet	bet	n.赌, 打赌v.赌, 赌钱
	betray	bi5trei	vt.出卖, 背叛, 泄露(秘密), 露出...迹象
	better	5betE	adj.较好的adv.更好的, 更多的, 更佳的
	between	bi5twi:n	prep.在...之间, 连接...,由...协力合作
	beverage	5bevE ridV	n.饮料
	beware	bi5wZE	v.小心, 谨防
	bewilder	bi5wildE	vt.使迷惑, 使不知所措, 使昏乱
	beyond	bi5jCnd	prep.在(到)...较远的一边, 超过, 那一边adv.在远处n.远处
	bias	5baiEs	n.偏见, 偏爱, 斜线vt.使存偏见
	Bible	5baibl	n.《圣经》
	bibliography	7bibli5C^rEfi	n.(有关一个题目或一个人的)书目, 参考书目
	bicycle	5baisikl	n.脚踏车, 自行车
	bid	bid	vt.出价, 投标, 祝愿, 命令, 吩咐n.出价, 投标v.支付
	big	bi^	adj.大的, 重要的, 量大的, 重要的adv.夸大地, 顺利
	bike	baik	n.脚踏车, 自行车
	bill	bil	n.帐单, 钞票, 票据, 清单, 议案, 法案, 广告vt.用海报宣传, 把...列成表, 给...开帐单
	billion	5biljEn	n.adj.十亿(的)
	bin	bin	n.箱柜[计] 二进制文件的扩展名
	bind	baind	v.绑, 镶边, 装订, 凝固, 约束
	biography	bai5C^rEfi	n.传记
	biology	bai5ClEdVi	n.生物学, 生物(总称)
	bird	bE:d	n.鸟, <俚>人vi.在野外观察或鉴别鸟类
	birth	bE:W	n.出生, 产生, 出身
	birthday	5b\:WdeI	n.生日
	biscuit	5biskit	n.饼干, 小点心
	bit	bit	n.小块, 少量, 片刻, 马嚼子, 辅币vt.上马嚼子, 控制vbl.咬n.[计]位, 比特
	bite	bait	n.咬, 咬伤, 一口, 刺痛v.咬, 刺痛abbr.[军] Built-In Test Equipment, 机内测试设备
	bitter	5bitE	adj.苦的, 痛苦的, 怀恨的
	bizarre	bi5zB:	adj.奇异的(指态度,容貌,款式等)
	black	blAk	n.黑色, 黑颜料, 黑人adj.黑色的, 弄脏了的, 忧郁的vt.(使)变黑, 涂黑
	blackboard	5blAkbC:d	n.黑板
	blackmail	5blAkmeIl	n.勒索, 勒索所得之款vt.勒索
	blade	bleid	n.刀刃, 刀片
	blame	bleim	n.过失, 责备vt.责备, 谴责
	blank	blANk	adj.空白的, 空着的, 失色的, 没有表情的n.空白, <美> 表格
	blanket	5blANkit	n.毯子vt.覆盖
	blast	blB:st	n.一阵(风), 一股(气流), 爆炸, 冲击波vt.爆炸, ,毁灭, 使枯萎, 损害
	blaze	bleiz	n.火焰, 光辉, 情感爆发vi.燃烧, 照耀, 激发vt.在树皮上刻路标, 公开宣布
	bleak	bli:k	adj.寒冷的, 阴冷的, 荒凉的, 凄凉的, 黯淡的
	bleed	bli:d	v.使出血, 放血
	blend	blend	vt.混和n.混和
	bless	bles	vt.祝福, 保佑, <口>哎呀!我的天哪!
	blind	blaind	adj.瞎的, 盲目的vt.使失明, 缺乏眼光或判断力
	block	blCk	n.木块, 石块, 块, 街区, 印版, 滑轮, 阻滞, (一)批vt.防碍, 阻塞
	blood	blQd	n.血, 血液, 血统v.使(某人)先取得经验
	bloody	5blQdi	adj.血腥的, 嗜杀的, 有血的, <英鄙>该死的, 非常的
	bloom	blu:m	n.花, 旺盛, 青春v.(使)开花, (使)繁盛
	blossom	5blCsCm	n.花(尤指结果实者), 花开的状态, 兴旺期vi.开花, 兴旺, 发展
	blouse	blauz	n.宽松的上衣, 似衬衫的上衣
	blow	blEu	n.殴打, 突然的打击v.风吹, 吹气于, 叫, 喘气
	blue	blu:	n.蓝色adj.蓝色的, 忧郁的, 沮丧的
	blueprint	5blu:7print	n.蓝图, 设计图, 计划vt.制成蓝图, 计划
	blunder	5blQndE	v.跌跌撞撞地走, 犯大错, 做错n.大错, 失误
	blunt	blQnt	adj.钝的, 生硬的
	blur	blE:	v.涂污, 污损(名誉等), 把(界线,视线等)弄得模糊不清, 弄污n.污点
	blush	blQF	v.脸红, 羞愧, 呈现红色, 使成红色n.脸红, 红色, 红光
	board	bC:d	n.木板, (供特殊用途的)木板, 甲板, 膳食费用, 会议桌, 部vt.用板盖上, 包饭, 提供膳食, 上(船、飞机等)
	boast	bEust	n.自夸, 值得夸耀的事物v.自夸, 以有...而自豪
	boat	bEut	n.小船, 艇v.划船
	body	5bCdi	n.身体, 肉体, 人, 尸体, 主要部分, 团体, 大量vt.赋以形体
	boil	bCil	n.沸点, 沸腾, 疖子v.煮沸, 激动
	bold	bEuld	adj.大胆的n.粗体
	bolt	bEult	n.门闩, 螺钉, 闪电, 跑掉v.上门闩, 囫囵吞下, 逃跑
	bomb	bCm	n.炸弹vt.投弹于, 轰炸
	bond	bCnd	n.结合(物), 粘结(剂), 联结, 公债, 债券, 合同v.结合
	bone	bEun	n.骨v.剔除
	bonus	5bEunEs	n.奖金, 红利
	book	buk	n.书, 书籍, 卷, 篇, 帐簿, 名册, 工作簿v.登记, 预订, 控告
	boom	bu:m	n.繁荣, 隆隆声v.发隆隆声, 兴隆, 大事宣传
	boost	bu:st	v.推进
	boot	bu:t	n.<美> (长统)靴, 靴子v.导入
	booth	bu:W	n.货摊, 售货亭, 棚
	border	5bC:dE	n.边界, 国界, 边, 边沿, 边境vt.与...接壤, 接近v.接壤
	bore	bC:	n.令人讨厌的人, 怒潮, 枪膛, 孔v.使烦扰, 钻孔钻孔
	born	bC:n	adj.天生的, 原本, 天生就...的vbl.出生
	borrow	5bCrEu	v.借, 借入, 借用
	bosom	5buzEm	n.胸部, 胸, 胸怀, 内心, 内部, 中间, 任何温暖、舒适而熟悉的地方vt.怀抱, 隐匿
	boss	bCs	n.老板, 上司vt.指挥
	both	bEJW	adj.两者, 双方的pron.双方, 两者
	bother	5bCTE	vt.烦扰, 打扰vi.烦恼, 操心n.麻烦, 烦扰v.打扰
	bottle	5bCtl	n.瓶子vt.用瓶装
	bottom	5bRtEm	n.底, 底部, 尽头, 末端adj.底部的vt.装底, 查明真相, 测量深浅vi.到达底部, 建立基础
	bounce	bauns	v.(使)反跳, 弹起, (指支票)被银行退票, 弹跳n.(球)跳起, 弹回
	bound	baund	n.跃进, 跳, 范围, 限度adj.正要启程的, 开往...去的, 被束缚的, 装订的v.跳跃, 限制
	boundary	5baundEri	n.边界, 分界线
	bow	bau	n.弓, 乐弓, 弓形, 鞠躬, 船首v.鞠躬, 弯腰
	bowel	5bauEl	n.肠adj.内部, 同情心
	bowl	bEul	n.碗, 碗状物, 木球v.滚, (板球)投球
	bowling	5bEJlIN	n.保龄球
	box	bCks	n.盒子, 箱, 包厢, 岗亭, 一拳v.装...入盒中, 打耳光, 拳击
	boy	bCi	n.男孩, 儿子, 孩子气的人, 男仆
	boycott	5bCikEt	n.vt.联合抵制, 联合排斥某国货物或与某国绝交
	brace	breis	n.支柱, 带子, 振作精神vt.支住, 撑牢, 振作起来, 奋起adj.曲柄的v.支持
	bracket	5brAkit	n.墙上凸出的托架, 括弧, 支架v.括在一起
	brain	brein	n.脑, 头脑
	brake	breik	n.闸, 刹车v.刹车
	branch	brB:ntF	n.枝, 分枝, 分部, 分店, (学科)分科, 部门, 支流, 支脉v.出现分歧
	brand	brAnd	n.商标, 牌子, 烙印vt.打火印, 污辱
	brandy	5brAndi	n.白兰地酒, (夹心)糖果
	brass	brB:s	n.黄铜, 黄铜制品, 厚脸皮
	brave	breiv	adj.勇敢的
	breach	bri:tF	n.违背, 破坏, 破裂, 裂口vt.打破, 突破
	bread	bred	n.面包, 生计
	breadth	bredW	n.宽度, (布的)幅宽, (船)幅
	break	breik	n.休息, 暂停, 破裂, 突变v.打破, 违犯, 折断, 削弱, 超过, 突变
	breakdown	5breikdaun	n.崩溃, 衰弱, 细目分类
	breakfast	5brekfEst	n.早餐vi.进早餐
	breast	brest	n.胸部, 乳房, 胸怀, 心情vt.以胸对着, 对付
	breath	breW	n.呼吸, 气息, 气味, 空气, 微风, 暂停, 瞬间
	breathe	bri:T	v.呼吸, 发出
	breed	bri:d	v.(使)繁殖, 教养, 抚养n.品种, 种类
	breeze	bri:z	n.微风, 煤屑, 焦炭渣, 轻而易举的事, 小风波vi.吹微风, 逃走
	bribe	braib	n.贿赂vt.贿赂, 向...行贿
	brick	brik	n.砖, 砖块, 砖形物(如茶砖,冰砖等), <口>心肠好的人
	bride	braid	n.新娘
	bridge	bridV	n.桥, 船桥, 鼻梁, 桥牌vt.架桥, 渡过
	brief	bri:f	n.摘要, 大纲adj.简短的, 短暂的vt.摘要, (军事)下达简令
	briefcase	5brIfkeIs	n.(扁平的, 柔韧的, 装文件, 书报的)公文包
	bright	brait	adj.明亮的, 辉煌的, 欢快的, 聪明的, 伶俐的
	brilliant	5briljEnt	adj.灿烂的, 闪耀的, 有才气的
	brim	brim	n.(杯, 碗等)边, 边缘, (河)边vt.注满, 使满溢vi.满溢
	bring	briN	vt.拿来, 带来, 产生, 引起, 提出(诉讼)vi.停下
	brisk	brisk	adj.敏锐的, 凛冽的, 轻快的, 活泼的vt.使活泼vi.活跃起来
	brittle	5britl	adj.易碎的, 脆弱的
	broad	brC:d	adj.宽的, 阔的, 广泛的, 明朗的, 露骨的, 显著的, 主要的adv.宽阔地n.宽阔部分
	broadcast	5brC:dkB:st	n.广播, 播音v.播撒(种子), 广播(无线电或电视)广播播送,播放
	brochure	brEu5FjuE	n.小册子
	bronze	brCnz	n.青铜(铜与锡合金), 铜像adj.青铜色的
	brook	bruk	n.小溪vt.容忍
	broom	bru:m	n.扫帚, [植]金雀花vt.扫除
	brother	5brQTE	n.兄弟
	brow	brau	n.眉毛, 额, (面部)表情
	brown	braun	n.褐色adj.褐色的, 棕色的v.(使)成褐色, 晒黑
	browse	brauz	v.n.浏览, 吃草, 放牧
	bruise	bru:z	n.瘀伤, 擦伤v.打伤, 撞伤
	brush	brQF	n.刷子, 毛刷, 画笔vt.刷, 掸, 拂
	brutal	5bru:tl	adj.残忍的, 兽性的
	bubble	5bQbl	n.泡沫, 幻想的计划vi.起泡, 潺潺的流
	bucket	5bQkit	n.桶, 一桶的量, [桶壮物]铲斗
	bud	bQd	n.芽, 蓓蕾vi.发芽, 萌芽
	budget	5bQdVit	n.预算vi.做预算, 编入预算
	buffet	5bQfit	n.餐具柜, 小卖部, 殴打, 打击v.打击, 搏斗
	bug	bQ^	n.小虫, 臭虫v.装置窃听器, 打扰
	build	bild	v.建造, 建筑n.构造, 体格, 体形
	building	5bildiN	n.建筑物, 营造物(如房屋,大楼,工厂,船等)
	bulb	bQlb	n.鳞茎, 球形物
	bulk	bQlk	n.大小, 体积, 大批, 大多数, 散装vt.显得大, 显得重要
	bull	bul	n.[动]公牛, 粗壮如牛的人
	bullet	5bulit	n.子弹
	bulletin	5bulitin	n.公告, 报告
	bully	5buli	n.欺凌弱小者vt.威吓, 威逼
	bump	bQmp	n.撞击, 肿块v.碰(伤), 撞(破), 颠簸
	bunch	bQntF	n.串, 束v.捆成一束
	bundle	5bQndl	n.捆, 束, 包v.捆扎
	burden	5bE:dn	n.担子, 负担v.负担
	bureau	bjuE5rEu, 5bjuErEu	n.办公桌, 衣柜<美>局, 办公署
	bureaucracy	bjuE5rCkrEsi	n.官僚, 官僚作风, 官僚机构
	burglar	5bE:^lE	n.夜贼
	burn	bE:n	v.烧, 烧焦, 点(灯), 使感觉烧热n.烧伤, 灼伤
	burst	bE:st	v.爆裂, 炸破, 急于, 爆发n.突然破裂, 爆发, 脉冲
	bury	5beri	vt.埋葬, 掩埋, 隐藏
	bus	bQs	n.公共汽车
	bush	buF	n.矮树丛, (机械)衬套
	business	5biznis	n.商业, 买卖, 交易, 生意, 事情, 事物, 营业, 商行
	busy	5bizi	adj.忙碌的, 热闹的, 临时占用的
	but	bEt, bQt	prep.除...以外conj.而是, 但是adv.几乎, 仅仅
	butcher	5butFE	n.屠夫, 屠户vt.屠宰, 屠杀
	butter	5bQtE	n.黄油, 牛油vt.涂黄油于...上
	butterfly	5bQtEflai	n.[动]蝴蝶蝶泳
	button	5bQtn	n.钮扣, [计]按钮v.扣住, 扣紧
	buy	bai	v.买n.购买, 买卖
	by	bai	prep.在附近, 在旁边, 经, 由, 依据, 按照, 通过, 用adv.通过, 经过, 附近[域] Belarus, 白俄罗斯
	bypass	" (?@) 5baIpAs;5baIpB:s;"	n.旁路vt.设旁路, 迂回
	by-pass		"旁通; 旁通道; 绕流管; 分路迂回"
	cab	kAb	一种压缩文件格式n.出租马车, 出租汽车, 计程车, (机车, 卡车, 起重机的)司机室, 驾驶室vi.乘出租马车
	cabbage	5kAbidV	n.[植]甘蓝, 卷心菜
	cabin	5kAbin	n.小屋, 船舱
	cabinet	5kAbinit	n.(有抽屉或格子的)橱柜, <美>内阁adj.<美>内阁的, 小巧的
	cable	5keibl	n.电缆, 海底电报, 缆, 索v.打(海底)电报
	cafe	" (?@) kA5feI;5kAfeI;"	n.咖啡馆, 小餐馆
	cafeteria	5kAfi5tiEriE	n.自助餐厅
	cage	keidV	n.笼, 槛, (矿井)贯笼
	cake	keik	n.蛋糕, 饼, 块
	calcium	5kAlsiEm	n.[化]钙(元素符号Ca)
	calculate	5kAlkjuleit	v.计算, 考虑, 计划, 打算v.<美>以为, 认为
	calendar	5kAlindE	n.日历, 历法
	call	kC:l	n.喊声, 叫声, 命令, 号召, 访问, 叫牌, 通话, 必要v.呼叫, 召集, 称呼, 认为, 命名, 打电话
	calm	kB:m	adj.(天气、海洋等)静的, 平静的, 镇静的, 沉着的v.(使)平静, (使)镇定, 平息
	calorie	5kAlEri	n.卡路里
	camel	5kAmEl	n.骆驼, [船](打捞用的)浮筒
	camera	5kAmErE	n.照相机
	camp	kAmp	n.露营地, 阵营vi.露营, 扎营
	campaign	kAm5pein	n.[军]战役, (政治或商业性)活动, 竞选运动vi.参加活动, 从事活动, 作战
	campus	5kAmpEs	n.<美>校园, 大学教育
	can	kAn, kEn	vt.装进罐中, 把食品装罐n.罐头, 铁罐conj.能, 可以
	canal	kE5nAl	n.运河, 小道, 导管, 槽, 沟渠vt.开运河
	cancel	5kAnsEl	vt.取消, 删去
	cancer	5kAnsE	n.癌, 毒瘤
	candidate	5kAndidit	n.候选人, 投考者
	candle	5kAndl	n.蜡烛vt.对着光检查
	candy	5kAndi	n.糖果, 冰糖v.蜜饯, 糖煮(水果)
	cannon	5kAnEn	n.大炮, 加农炮v.炮轰
	canoe	kE5nu:	n.独木舟, 轻舟
	canteen	kAn5ti:n	n.小卖部, 食具箱, 饭盒, (军用)水壶
	canvas	5kAnvEs	v.彻底讨论探究n.帆布
	cap	kAp	n.帽子, 军帽, (瓶)帽, (笔)帽vt.戴帽子, 盖在...顶上
	capable	5keipEbl	adj.有能力的, 能干的, 有可能的, 可以...的
	capacity	kE5pAsiti	n.容量, 生产量, 容量, 智能, 才能, 能力, 接受力, 地位
	cape	keip	n.海角, 岬
	capital	5kApitEl	n.首都, 首府, 大写字母, 资本, 资金, 资产adj.首都的, 重要的, 死罪的, 大写的, <口>极好的
	capitalism	5kApitElizEm	n.资本主义
	capsule	5kApsju:l	n.(植物)蒴果, 胶囊, 瓶帽, 太空舱
	captain	5kAptin	n.队长, 首领, 船长, 机长, (空军, 海军)上校, (陆军)上尉v.指挥, 统帅
	captive	5kAptiv	n.俘虏, 被美色或爱情迷住的人adj.被俘的, 被迷住的
	capture	5kAptFE	n.捕获, 战利品vt.俘获, 捕获, 夺取
	car	kB:	n.汽车, 小汽车, 车辆, 客车, [铁]车厢
	carbohydrate	5kB:bEu5haidreit	n.[化]碳水化合物, 醣类
	carbon	5kB:bEn	n.[化]碳(元素符号C), (一张)复写纸
	card	kB:d	n.纸牌, 卡片
	cardinal	5kB:dinEl	n.枢机主教, 红衣主教adj.主要的, 最重要的
	care	kZE	n.注意, 照料, 烦恼, 忧虑, 由...转交vi.关心, 顾虑, 照顾, 喜爱vt.在意
	career	kE5riE	n.(原意：道路, 轨道)事业, 生涯, 速度
	careful	5kZEful	adj.小心的, 仔细的
	caress	kE5res	n.爱抚, 接吻vt.抚爱
	cargo	5kB:^Eu	n.船货, (车、船、飞机等运输的)货物
	carpenter	5kB:pintE	n.木匠
	carpet	5kB:pit	n.地毯
	carriage	5kAridV	n.马车, 客车, 运费, 姿态, （机械）车架
	carrier	5kAriE	n.运送者, 邮递员, 带菌者, (自行车等)行李架, 搬运器, 航空母舰n.[电]载波（信号）
	carrot	5kArEt	n.胡萝卜
	carry	5kAri	n.进位, 射程, 运载vt.携带, 运送, 支持, 支撑, 传送, 意味vi.被携带, 能达到
	cart	kB:t	n.大车, 手推车vt.用车装载
	cartoon	kB:5tu:n	n.(报刊上的)政治性漫画, 讽刺画, 卡通画, 漫画(常有解说词)v.画漫画n.卡通片,动画片
	carve	kB:v	v.雕刻, 切开
	case	keis	n.事, 病例, 案例, 情形, 场合, 讼案, 容器, (语法)格
	cash	kAF	n.现金vt.兑现
	cashier	kE5FiE	n.(商店等的)出纳员, (银行或公司的)司库
	cassette	kB:5set	n.盒子, 盒式磁带
	cast	kB:st	n.投掷, 铸件, 脱落物, 一瞥, 演员表v.投, 抛, 投射, 浇铸, 计算, 派(角色)
	castle	5kB:sl	n.城堡
	casual	5kAVjuEl	adj.偶然的, 不经意的, 临时的
	casualty	5kAVjuElti	n.伤亡
	cat	kAt	n.猫
	catalog	5kAtElC^	n.目录, 目录册v.编目录
	catalogue	5kAtElC^	n.目录
	catastrophe	kE5tAstrEfi	n.大灾难, 大祸
	catch	kAtF	n.捕捉, 捕获物, (窗)钩v.捕获, 赶上(车船等), 发觉, 感染（疾病）vi.抓住，燃着
	category	5kAti^Eri	n.种类, 别, [逻]范畴
	cater	5keitE	vi.备办食物, 满足(需要), 投合
	cathedral	kE5Wi:drEl	n.大教堂
	catholic	5kAWElik	n.天主教徒adj.天主教的
	cattle	5kAtl	n.牛, 家养牲畜
	cause	kC:z	n.原因, 导致某事发生的人或事, 动机, 理由, 根据, 目标, 理想, 事业vt.引起, 惹起, 使(发生), 促成
	caution	5kC:FEn	n.小心, 谨慎, 警告vt.警告
	cautious	5kC:FEs	adj.谨慎的, 小心的
	cave	keiv	n.洞穴, 窑洞vi.凹陷, 投降vt.挖洞, 使凹陷
	cease	si:s	v.停止, 终了
	ceiling	5si:liN	n.天花板, 最高限度
	celebrate	5selibreit	v.庆祝, 祝贺, 表扬, 赞美, 举行
	celebrity	si5lebriti	n.名声, 名人
	cell	sel	n.单元, 细胞, 蜂房, (尤指监狱或寺院的)单人房间, 电池
	cellar	5selE	n.地窖, 地下室, 酒窖, 藏酒量
	cement	si5ment	n.水泥, 接合剂vt.接合, 用水泥涂, 巩固vi.粘牢
	cemetery	5semitri	n.墓地, 公墓
	census	5sensEs	n.人口普查
	cent	sent	n.(货币单位)分, 分币
	center	5sentE	n.中心, 中央, 中心点, 中锋adj.中央的, 位于正中的vt.集中, 使聚集在一点, 定中心, 居中vi.居中, 有中心, 被置于中心
	centigrade	5senti^reid	adj.分为百度的, 百分度的, 摄氏温度的
	centimeter	5sentImi:tEr(r)	n.厘米
	centimetre	`sentI9mi:tE(r)	n.厘米,公分
	central	sen5trB:l	adj.中心的, 中央的, 重要的, 主要的, 中枢的, 走中间道路的n.<美>电话总机
	centre	5sentE	n.中心, 中央, 中心区v.集中
	century	5sentFuri, -tFEri	n.世纪, 百年, 百个, 板球中的一百分, 百元(钞票)
	cereal	5siEriEl	n.谷类食品, 谷类
	ceremony	5serimEni	n.典礼, 仪式, 礼节, 报幕员
	certain	5sE:tEn	adj.确定的, 某一个, 无疑的, 必然的, 可靠的pron.某几个, 某些
	certainly	5sE:tEnli	adv.的确, (口语)当然, 行
	certainty	5sE:tEnti	n.确定, 确实的事情
	certificate	sE5tifikit	n.证书, 证明书vt.发给证明书, 以证书形式授权给...
	certify	5sE:tifai	v.证明, 保证
	chain	tFein	n.链(条),镣铐, 一连串, 一系列vt.用链条拴住
	chair	tFZE	n.椅子, 教授职位, 主席位, 讲座vt.使入座, 使就任要职
	chairman	5tFZEmEn	n.主席, 会长
	chalk	tFC:k	n.粉笔, 白垩vt.用粉笔写, 和以白垩
	challenge	5tFAlindV	n.挑战vt.向...挑战
	chamber	5tFeimbE	n.室, 房间, 议院, 会所, (枪)膛
	champagne	FAm5pein	n.香槟酒, 香槟色
	champion	5tFAmpjEn	n.冠军, 拥护者, 战士vt.拥护, 支持
	chance	tFB:ns	n.机会, 可能性, 偶然性, 运气v.碰巧, 偶然发生, 冒...的险adj.偶然的
	chancellor	5tFB:nsElE	n.长官, 大臣
	change	tFeindV	n.改变, 变化, 转变, 找回的零钱, 找头, 辅币vt.改变, 变革, 改造, 兑换
